temperature,B
1,68.62565755090387
2,66.65889526118349
3,63.468602860919674
4,68.77889790993717
5,68.63276258581246
6,62.74282310957092
7,94.78777752828614
8,48.06855242726254
9,50.49414365319373
10,76.39292099506127
11,52.92110337884993
12,51.983120304578385
13,57.5832444092929
14,108.99079291401519
15,83.01277164233991
16,48.44102930740225
17,87.27390140320406
18,55.5707575695929
19,61.40688969034107
20,72.90601085930241
21,64.02684665846886
22,57.22199132439405
23,75.6989515985353
24,50.17496293903501
25,36.52975621710332
26,41.118883379957374
27,35.734129645645446
28,94.51633196673055
29,38.35697576969832
30,52.50736297825907
31,47.56951622996193
32,31.981418579648267
33,45.94613291404937
34,48.15869928002713
35,79.44004668831604
36,39.25307886156892
37,51.093880939956556
38,56.23339332619497
39,53.50277923688243
40,71.41687335766346
41,70.21757672058533
42,95.53326464213674
43,61.03256874431641
44,53.871226053592586
45,37.83047196010353
46,72.61829174509585
47,64.15455897038677
48,57.55342105639106
49,52.27364816722608
50,51.65942808416761
51,48.715768698423524
52,55.784755920315945
53,44.59380206989159
54,34.514568447939624
55,38.40191620046673
56,45.7875621534813
57,64.68578688317947
58,52.84742003057644
59,57.62486795987636
60,51.9968252920752
61,59.03569415534119
62,83.74996012326362
63,55.35184464435866
64,39.106397047626444
65,49.365354553916326
66,42.89535771975077
67,65.87431570989627
68,50.8424753838484
69,87.701023880736
70,57.412706954562445
71,87.00917625829054
72,83.12092478490577
73,70.2275832533993
74,79.62973655487396
75,86.20881706172905
76,69.72784631752664
77,44.652446678310945
78,66.95154946238232
79,51.12615433657106
80,46.33572095515845
81,86.19328344181137
82,75.28153895011187
83,48.95624630295514
84,53.96091597084044
85,66.8585949434699
86,55.29197389015359
87,75.53091235841912
88,75.68060317173156
89,48.05942398904023
90,34.390485023318234
91,44.211548572612344
92,36.436462982373364
93,66.70870613990759
94,49.97585418254318
95,89.42852726112531
96,58.756870147587854
97,58.62174376162538
98,72.07797900411771
99,61.1554773146495
100,77.38284617125338
101,86.69712573659818
102,61.67920700856751
103,88.9180980191126
104,44.896219958197605
105,108.45280949205537
106,90.67221470702901
107,87.75569180622693
108,71.84665479520365
109,79.62132488438428
110,61.938027335104124
111,68.51210643388477
112,140.14575681433155
113,76.59358501732957
114,62.65384683567155
115,58.313724314982295
116,106.10235790273673
117,56.0676021348146
118,159.27428974143803
119,91.61928992751538
120,52.9464260759928
121,61.83817386199629
122,77.20567864617237
123,50.36789088486926
124,74.92422442284197
125,66.94045763847085
126,79.98332448720768
127,71.9482470318159
128,68.21767938454134
129,64.2432002613946
130,79.28648761253791
131,65.17855516815702
132,44.67907659921533
133,64.51957504771836
134,56.95277151961613
135,60.73293233129132
136,71.29371247516607
137,94.37128155494123
138,80.00459912761346
139,68.39601194740487
140,63.0670954905546
141,44.86132888959202
142,50.370250441219866
143,84.67496324522422
144,56.50160087675146
145,62.32431175172998
146,49.73937157447271
147,66.89374401597783
148,59.050255746512846
149,50.72134253960197
150,64.01859899050437
151,54.149307961666246
152,61.67429608533125
153,70.40172553203924
154,100.05645710952408
155,72.22354618372714
156,47.67367799497998
157,68.70940624609877
158,75.5910186477773
159,55.38377051337355
160,67.30679310218858
161,48.30344608802418
162,63.099751226049875
163,92.55717573850781
164,68.2872856254822
165,49.58544147491698
166,57.91424513069489
167,57.886603869999526
168,55.20908003911889
169,58.17522810359429
170,69.00151567556551
171,47.71517664216195
172,61.70166076068365
173,103.2810649933763
174,70.07353107746967
175,54.92135986451693
176,53.852318812496236
177,68.2394725539944
178,54.06932586878895
179,80.88995357965692
180,66.49809586325198
181,64.35138886223838
182,80.43178910648672
183,73.64088772122233
184,53.43805018897213
185,46.66128203934542
186,50.24086921435431
187,58.5222578620921
188,49.06798907225464
189,43.435530761594386
190,58.589041870707554
191,32.020568147003104
192,51.00860161192063
193,52.02040759262596
194,87.26609926719566
195,104.80634766454449
196,48.88127058892297
197,91.21321443566106
198,98.67739586851312
199,57.76580090604426
200,73.25752955662686
201,85.95030638462117
202,57.206643034524824
203,57.29958907732717
204,42.01666644669881
205,59.06560177739368
206,59.14789553057558
207,58.675872151913936
208,52.09166800035226
209,52.73410834320131
210,57.60386679761878
211,60.590715306061746
212,61.28572790660573
213,63.47475480236385
214,44.21046228411266
215,48.11719003039278
216,64.90651477595944
217,59.02699469505603
218,61.40792448536735
219,43.263540769465486
220,69.58456245228035
221,64.85046542195464
222,62.07071541652486
223,64.35754435328914
224,47.50746598063616
225,79.61730192715079
226,64.54024931939313
227,62.91674813404873
228,51.61471918553345
229,37.45991829962408
230,56.159390787542584
231,52.12663488703098
232,68.72153203998865
233,59.79084660553203
234,57.142598679534125
235,55.54574968150971
236,91.25578588020943
237,56.329787927686
238,50.80200010877222
239,62.65434088195952
240,55.06338097236388
241,58.269751796740834
242,89.40429332729839
243,72.8186619680719
244,60.83868406614468
245,61.45751495473247
246,58.83759399616759
247,67.64555425670659
248,69.11983032982197
249,54.075491206910414
250,61.723132843984644
251,51.31449987553126
252,50.94572605357224
253,83.60920748843473
254,39.48288698725191
255,43.76640914699942
256,39.24525422330429
257,81.40233972244266
258,59.238794264571084
259,59.771059551058684
260,69.46296297322031
261,100.25752992028644
262,57.93684523126346
263,45.12953265332017
264,65.36670300673136
265,62.064831003074865
266,49.78358666982365
267,52.08712687336807
268,43.452676415915136
269,54.63454815029103
270,49.32002764135882
271,47.40663177422081
272,45.52836665114777
273,65.3776114999289
274,44.57250596997001
275,50.457719372107
276,57.82770284055586
277,95.29312073160658
278,41.71180704159552
279,50.23522783783521
280,52.161352502945874
281,48.86079272454912
282,190.21029146126725
283,61.19115549183144
284,45.493489556343874
285,40.73689048527739
286,81.76969148475557
287,63.15024714242688
288,92.81717795699693
289,66.73823906722421
290,68.77824826743186
291,67.56933178682495
292,53.82688197992137
293,67.97028274187721
294,76.71405133889917
295,49.20561845675736
296,47.507115421271735
297,45.29536475536485
298,52.212142135901566
299,62.6331256247953
300,43.13673954341883
