temperature,S
0,0.0
1,0.0019697893840443974
2,0.0044961874178993345
3,0.0053800208761266176
4,0.006032838988915058
5,0.006637198970872559
6,0.007047238701685424
7,0.007297841426930038
8,0.007539254937674602
9,0.007761472846039538
10,0.007943272536741508
11,0.008066819142684542
12,0.008141161210038076
13,0.008217075915926105
14,0.00830716834097813
15,0.008393025492358364
16,0.00847286786663286
17,0.008539068857206242
18,0.008589163106002856
19,0.008641185767561918
20,0.008692718078643831
21,0.008741375818432201
22,0.008788269601174173
23,0.008829781087285117
24,0.008865667146751568
25,0.008903879704010343
26,0.008945665135047734
27,0.00898421952223269
28,0.009018955471734567
29,0.00905342887140358
30,0.009088970582826553
31,0.00911581478793603
32,0.009141800903731852
33,0.009168369663959747
34,0.009189515085291448
35,0.009210961490248847
36,0.00923336710772445
37,0.009258838945823807
38,0.009278678037623792
39,0.00929176859329906
40,0.009305525151179092
41,0.009318257225030288
42,0.009328197114373814
43,0.009337511557090734
44,0.00935071268179991
45,0.00936468926072517
46,0.009373997361980501
47,0.009381176551990155
48,0.009390328571269068
49,0.009399467756209296
50,0.009407103218435636
51,0.009417556906556388
52,0.009427197567124897
53,0.009434415245666388
54,0.009445373882375126
55,0.009456833073129634
56,0.00946440274927829
57,0.009471651868847925
58,0.009479581232978491
59,0.009488328837100064
60,0.009495963514049969
61,0.009502483326506031
62,0.009509773646576562
63,0.009516071708955947
64,0.009523740431091656
65,0.009532790902879005
66,0.009541002420183693
67,0.009547698288558054
68,0.009553147524006645
69,0.00955956303601582
70,0.009566007365829118
71,0.0095719983531103
72,0.009578253301167771
73,0.009583535575852188
74,0.009588493823825194
75,0.00959387507747914
76,0.009599998606367203
77,0.00960526624254941
78,0.009609658673944928
79,0.009614328610707264
80,0.009618477095784268
81,0.009622140703439384
82,0.009625862506481123
83,0.009630097306142543
84,0.009634554323323934
85,0.009639114838879867
86,0.009643277574159477
87,0.009646642389602578
88,0.00964950718810678
89,0.009653431834328655
90,0.009658029453237741
91,0.009661785416305723
92,0.009665117741201568
93,0.00966841107810811
94,0.00967185241904673
95,0.009675127569027006
96,0.00967816504272438
97,0.009681237082493056
98,0.009684186599486262
99,0.009687314701195908
100,0.009690523916408369
101,0.009693360162841398
102,0.00969604739017337
103,0.009698591964184234
104,0.00970149404234704
105,0.009704586250966254
106,0.009707214325323914
107,0.009710034755734332
108,0.009712966423341756
109,0.00971571448425722
110,0.009718323607166476
111,0.00972085955127324
112,0.009723335727981525
113,0.009725777389104873
114,0.009728439206560514
115,0.009731100978515298
116,0.009733560066780179
117,0.00973604573717157
118,0.00973838851846617
119,0.009740519362733865
120,0.009742857063737499
121,0.00974519710823548
122,0.009747334252479116
123,0.00974955295520833
124,0.009751878815686297
125,0.009754134647813974
126,0.009756429072325429
127,0.009758659402128693
128,0.009760787644523292
129,0.009763034838181457
130,0.009765226743012499
131,0.009767395348051941
132,0.009769542041496977
133,0.009771691886791509
134,0.009773874163536464
135,0.009775995463737416
136,0.0097780700212718
137,0.009780116867270155
138,0.009782129629268945
139,0.00978409200354427
140,0.009786013693800688
141,0.00978806189398085
142,0.009790067494657412
143,0.009791910530078513
144,0.009793905784006924
145,0.009795923016215688
146,0.009797734861155481
147,0.009799489954479455
148,0.009801269762283933
149,0.009803150842226443
150,0.009805080923794516
151,0.009806930427100213
152,0.009808726126983263
153,0.009810512094889496
154,0.009812263294195874
155,0.009814067449999173
156,0.00981590937794527
157,0.009817643323686218
158,0.00981934984619738
159,0.009821072842729173
160,0.009822841664440866
161,0.009824653221792616
162,0.009826424437172064
163,0.009828213927517827
164,0.009829959859812122
165,0.00983163531505499
166,0.009833300599280137
167,0.009834936481493249
168,0.00983918474062087
169,0.0098433616221887
170,0.009844892996625039
171,0.009846436593640687
172,0.009847975488407979
173,0.009849466094594661
174,0.009850983867728758
175,0.009852628060588065
176,0.00985421724052608
177,0.009855686136236436
178,0.00985718120707644
179,0.009858705443447772
180,0.00986025008796016
181,0.009861731829318468
182,0.00986314819630812
183,0.009864581392349877
184,0.00986607843249825
185,0.009867524809287057
186,0.009868931356621502
187,0.00987039799146565
188,0.009871885566406809
189,0.009873372257674429
190,0.009874856385226146
191,0.009879549220390794
192,0.009884146851277
193,0.009885546449443481
194,0.009886939154541129
195,0.009888270494792257
196,0.009889603262239158
197,0.009890966190440621
198,0.009893496671319368
199,0.009896039888643036
200,0.009897409956415257
201,0.009898728082070605
202,0.009900102638331193
203,0.009901445819076298
204,0.009902766452857113
205,0.009904075246117196
206,0.009905328422840734
207,0.009906635908458073
208,0.009907994547880387
209,0.009909297203545218
210,0.009910628127646945
211,0.00991198744575949
212,0.009913280282956818
213,0.009914656570011277
214,0.009917017454558842
215,0.009919300490170325
216,0.009920518437861037
217,0.009921682115972004
218,0.009922838208264216
219,0.009924047740423068
220,0.00992523635336852
221,0.009926355950550683
222,0.009927693582714184
223,0.009929046303845215
224,0.00993020966266507
225,0.009931384578210117
226,0.009932598914369118
227,0.009934241407334577
228,0.009936509443282879
229,0.00993860739949119
230,0.009940059455730657
231,0.009941196780174744
232,0.009942342426950664
233,0.009943512807861533
234,0.009944684217152722
235,0.009945837943965188
236,0.009946956063844409
237,0.00994815017074083
238,0.009949340084282908
239,0.00995044107955265
240,0.009951508492426625
241,0.009952592030252463
242,0.009953737748155516
243,0.009954877264353403
244,0.00995601307404107
245,0.009957130322566407
246,0.009958215207777078
247,0.009959261656888927
248,0.00996063402960614
249,0.009962012436310808
250,0.009963068975963501
251,0.009964462125205882
252,0.009965829458923615
253,0.00996689539036725
254,0.009968354086144835
255,0.00996981970599133
256,0.009971034735589804
257,0.009972202691687124
258,0.009973204370931976
259,0.009974245106890576
260,0.009976162023189433
261,0.009978031844549429
262,0.009979045113188215
263,0.009980573994934409
264,0.009982084438590604
265,0.009983080632144122
266,0.0099843019819295
267,0.009986007723756954
268,0.009987536385761296
269,0.009988579902721655
270,0.009989606415729387
271,0.009990690037727323
272,0.009992215185875647
273,0.009993651262966693
274,0.009994616843499603
275,0.009995657062751444
276,0.009996650874937018
277,0.009997605775613263
278,0.009999059933694241
279,0.01000049186399965
280,0.010003289885756756
281,0.010006113417745073
282,0.010007075753426697
283,0.010008087249763358
284,0.010011832050324977
285,0.010016702949091832
286,0.01001880864192181
287,0.010019720459824532
288,0.01002065373288893
289,0.010021570559738452
290,0.010022447339678343
291,0.010023321771277906
292,0.010024243770591319
293,0.01002608332151502
294,0.010027881293944538
295,0.010028789647135243
296,0.010029746478325594
297,0.010030676365743483
298,0.010031561184560146
299,0.01003244916750323
300,0.010033685121867308
